,sandwiches,pizza,asian,salads,burgers,italian,coffee,fastfood,mexican,chinese,seafood,tea,dessert,japanese,bakery,pasta,sushi,smoothies,juice,chicken,latinamerican,donut,wings,mediterranean,wraps,indian,icecream,soup,thai,bagels,desserts,caribbean,noodles,greek,middleeastern,asianfusion,subs,spanish,southern,french,friedchicken,korean,frozenyogurt,steak,grill,bbq,tacos,fish,vietnamese,calzones,Zip,City,postalCode
24,0.16636871990680263,0.007453097873056413,-0.4613272476961229,-0.12441091821706636,0.3124749410248847,-0.561273459525683,-0.18618945353861482,0.5972867491918973,0.35713105897461744,-0.45435751925415485,0.35250103303787844,-0.05850876060300907,-0.4445676969964058,-0.42133482161577157,-0.020119973782067598,-0.34427175559490536,-0.5693195418876886,0.14271582956810636,0.11429549622460992,0.5602163904173488,0.9094905735845613,0.2934838708156974,0.6926373373486796,-0.497458690002146,0.1272280772868531,-0.34466370314087375,-0.518095539826065,-0.18636168857490293,-0.15567656250360545,0.1610932984928959,-0.3540925703152582,1.1809779682620216,-0.15878501695010955,-0.48781760971441734,-0.9342020774032384,-0.32325710789262374,0.2956644566515554,1.5971823782077932,2.0,0.17749819242499718,0.951775975513859,-0.8150822019488416,-0.6940113800156332,-0.013942489616399193,-0.16311805720696357,-0.28448892211360827,-0.04566551944107262,0.7506562028613768,-0.8641348239509619,-0.06324536513557903,10039,New York,10039
25,-0.31869544402625694,-0.1742373445303995,0.01681046718360142,-0.24518149634428707,0.03466420805111424,-0.5715559256735727,-0.2259009220905919,-0.1280687570161254,0.6603234924326216,0.07795795795795796,0.428365875981074,-0.035815512128230864,-0.22543635880028726,-0.3244746224056569,0.45187028509287647,0.22141552078394178,-0.44510317787540304,-0.265240649492618,-0.2795500110241146,0.40714854921620053,1.7593990016506573,0.5332250855506668,-0.05001903921212288,-0.6690638874168285,0.14276376376376368,0.9419995727945517,0.09484448347264242,0.45670985270985276,1.201792684525132,0.26764154712652566,0.4355438099389713,-0.5960606120343538,0.7056175578563639,-0.9051385918292394,0.1698989192519692,-0.4986412267781089,0.21248144696420565,1.0372810578819163,-0.2177953377105919,-0.7315880766262446,0.5148103717294318,-0.726010686010686,0.20900728809038271,0.6071256852420286,-0.30791108221397995,0.06015965714458164,1.262431868866185,-1.0,0.2078536551818995,-0.5373426057636584,11372,Jackson Heights,11372
26,-0.012500788151660804,-0.4944496170918941,-0.1298189581093894,0.05131568595928958,0.7064844611813109,-0.05932698127051971,-0.1943346668544713,0.8127949672681484,0.11587706996188625,-0.019502868068833723,-0.38917089547740097,-0.6081443784289096,0.6952835908906239,-0.09014213188407158,-0.12339275164910553,-0.38138371741974436,-0.20505460042666485,0.11872287842237102,0.0512302061897181,-0.12005170449007399,0.11198764134577636,0.09824942193961485,0.3306999079793476,-0.07814044164510918,-0.44029955385595926,0.12408457802987265,0.3638909788708576,0.4392297186561049,-0.681384945269047,-0.7117422594966313,0.523378230432369,-0.6325817640192293,0.2530607003224795,-0.3960067127942006,-1.0,1.2345455074191745,0.28666769228515127,0.0809665268876324,0.06722542696956939,-1.0,0.3152229804951352,-1.0,0.9244714480597392,0.39537507348929835,0.8360867560766784,0.6875390336001228,-0.5498387832621656,-0.08245828500976914,-1.0,-1.0,11582,Valley Stream,11582
27,0.014067992383634592,-0.057107220466189434,0.05492319235915517,-0.0371122148179061,0.1719365624768434,-0.5979426540304086,-0.1897574230248708,-0.0755048697294728,-0.45231528184243397,0.42867756315007427,-0.2615996857661433,0.06581235555108618,-0.7604664816869388,0.2855752128181292,0.11473465297518844,0.03015171658715887,0.8532976700305542,0.5016546322954344,0.4110596459418112,0.11898328433478898,-0.13585507217854234,0.8017672949998271,0.03411003250103837,-0.5906325204673251,0.6310735512630015,0.8562845436968051,0.17767043412491082,-0.1300941059930659,0.48560778862664267,1.2401010146101306,-0.21077086229209613,-0.8572364506553172,-0.1885206212621883,-0.5306263161833089,0.2059693539837349,0.4884321380346781,0.24986479023984787,-1.0,-0.17064056715440604,-1.0,-0.3186115712739419,-1.0,-0.252229890538452,-0.2770865146756781,-0.35791527779695953,-0.6721460198466329,-1.0,-0.6434811909807647,0.9921509023059559,0.7169195276452647,11367,Flushing,11367
29,0.06508425822108455,-0.0865561386701334,0.07812776999417079,-0.13938788277853498,-0.16412099114458076,-0.016638754998594105,0.35783848017724784,-0.5174614373568599,0.5189722919368032,-0.4495410127331952,-0.14860154131244488,0.567751256670637,0.14567527029688046,0.06323579823523659,0.012038077173835237,-0.2609263905989433,-0.05612494211157347,0.3703128029476487,0.31724264159993565,0.0282842641341259,0.016067593988943446,-0.24405692406222676,-0.025770191471549825,0.12176023503864095,-0.32821858651663216,-0.26012466810307977,-0.29590861519153244,-0.13318527292468654,0.8257387989631838,-0.06250081020180706,-0.31843196863029793,-0.5447800120392228,0.3907848232924806,-0.3919824756126398,0.39395344280133576,0.038200148398188985,-0.5018306166233831,-0.10714362876362582,0.04678897125620477,-0.0074640529671984625,-0.5926197105129075,1.4991281741651894,-0.6274435270449942,-0.35168981631486257,-0.1327113446977455,-0.5426354455130257,0.6732080522633396,-0.2894961253481037,1.2828326781754438,-0.20161801453589553,11211,Brooklyn,11211
30,-0.04235504520125194,-0.10252021397925427,0.09124674886582046,-0.10852505661288268,-0.07856946088733081,-0.31516314576997095,0.16252637611894316,-0.4203727905165472,0.1401970710510453,-0.3167168296965137,-0.05629005666962495,0.2507863703672486,0.1523382613503064,0.10671678027480945,0.2126230372107546,-0.31603989280952566,0.18181749813669815,0.18734053450819943,0.19092443155108982,0.20675126509894648,-0.15397458960163582,-0.37572127583250214,0.23776300353671037,-0.1535169693661261,-0.24745067302065046,0.52982779808436,-0.1253278932704575,-0.32873648882678236,0.6090979268961887,-0.07359153299726257,-0.20067538047039984,1.3616320876546808,-0.09595457625342058,-0.564237097906325,0.26210878515990277,-0.03689319184688645,-0.40926882098621287,-0.3855454045390007,0.9132610007949566,0.17695295971449185,-0.022352017424776743,0.8307186668360482,-0.5582210953507207,-0.5118928762244609,0.1922129918407596,0.27284970122748164,0.24006035701821798,-0.21766163528736146,1.1017017137758784,-0.6135818603443648,11238,Brooklyn,11238
31,0.27545728369241224,0.5001580156649044,-0.22535372781482665,-0.16437978152475927,0.9872395741663607,0.3084361404136122,-0.4726370848121258,1.5215206592586212,-0.3464684125531171,-0.31808510638297877,0.13284972221744426,-0.6366303367346093,0.28621854647359213,-0.07958285295042448,-1.0,-0.016606942889137756,-0.017124245917602178,-1.0,-1.0,-0.5549197692923682,-0.38130900380442445,-0.32105857248886693,-0.32692838310135514,-1.0,-0.22148049645390075,-1.0,1.5294857515938243,-0.11026342451874367,-1.0,0.6038170030134233,-0.05824253603294446,1.044252525722799,-1.0,-1.0,-1.0,-1.0,2.0,1.004771253766779,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.48921629072973255,-1.0,1.5046203867434829,2.0,-1.0,2.0,11727,Coram,11727
32,-0.010457373166996124,0.0591244359522608,-0.3749635228720489,0.43274797116248365,0.15803851198440294,1.3226145393779831,0.06377927097983206,-0.10989238530462833,0.18645434115893347,-0.3122317596566524,0.2187453377789959,-0.2670225676620877,-0.13516063398771339,-0.81433645531618,0.07327098920214857,0.5869347187711769,-0.6034750176663287,-0.3151477970172844,-0.14195333930983606,0.07736158849401004,-0.5007986811812524,-0.7260922996307017,-0.4569207554637544,0.7736329209795507,-0.3718383404864092,-0.6846050245120046,0.02047923025673608,0.07684855916615574,0.7879364122777728,-0.6764832654865627,0.5197459504361068,-0.5876400484593496,-0.5312226421540367,-1.0,0.39333454975288173,-1.0,-0.2779751040073668,-1.0,-1.0,0.9180508687437888,-0.01593473705442679,-1.0,1.159868170247304,0.044035999191563674,0.23640348510056156,-0.05302262384885811,2.0,1.0595464246347244,-1.0,0.6530569987199759,10538,Larchmont,10538
33,0.02543404862946053,0.27819057446586715,-0.2959706531797734,-0.1727475254252364,0.07504903298594559,-0.4224085766903447,-0.2810674070574146,-0.017860737692084017,0.9091426898482837,-0.2917127071823205,0.495340770532879,-0.19797690345567112,-0.4990143230586285,-0.551868723294233,-0.13649122761014984,-0.10625327129979649,-0.4576535030995609,0.06527309750327107,0.001005056333466521,0.18462652565415263,2.0,0.14594810002569691,0.17973464343146459,-0.28650471238219044,-0.19137200736648258,-0.6447450241568229,-0.39790785747053076,-0.48016771902131017,0.09325890844664363,0.0411519218457306,-0.20522954353056502,0.5924840117509097,-0.32111455842335285,-0.672767449024206,-0.8878981525923959,-0.30820799109299835,0.16182182849643317,2.0,0.41338579220900834,-1.0,0.26678014511778203,-0.684950132740188,-0.4786782282448669,0.3439800431582007,0.2600272165147757,0.37141682167744783,0.6259275991290566,0.6570245750686835,-0.7685225211926954,0.06398420083357563,10040,New York,10040
34,0.0028622038812232027,-0.2518357713157903,0.08756251762094293,0.25546795988471266,-0.11745544172509707,0.053449126354801584,0.45244820876593284,-0.5439435125542683,-0.26504464165654973,-0.2013754476872667,-0.17772070253027283,0.3873006834506285,-0.020332003999158278,0.32847833439503243,0.006793016503592833,-0.031444390523668715,0.3482242207755272,0.20380139954296275,0.2568621454786768,-0.33368542158941294,-0.4283131128653852,-0.1537936456319369,-0.3780639772526886,0.43284076901354157,0.16549525006985183,0.30476856086777276,-0.2873312515766542,0.32562139174041954,0.27614761862691356,-0.1269017244892253,-0.14328273985836246,-0.8755347277259379,0.29009329258606764,0.25171084651748254,0.18746122109549865,-0.07128473533102558,-0.3205604327811456,-0.5261144228313229,-0.6455593879034998,0.6516752146795081,-0.7379175421782537,1.6767355025527702,-0.19467843046406624,0.5941776538749183,-0.030433422394089544,0.39553421301432096,-0.2285547814358639,-0.21380036468736943,0.251527095659215,-0.17819524044432494,10017,New York,10017
